"","ID","Response","ANSWER","Reaction.Time","Correct","ICAR"
"1",13,"C","C",214799,1,6
"2",13,"E","E",168185,1,6
"3",13,"B","B",172228,1,6
"4",13,"B","B",145141,1,6
"5",13,"D","D",80503,1,6
"6",13,"C","E",224984,0,6
"7",13,"F","C",97376,0,6
"8",13,"D","A",333486,0,6
"9",13,"D","D",88665,1,6
"10",13,"B","E",23370,0,6
"11",1,"A","C",102232.799999982,0,1
"12",1,"F","E",26367.099999994,0,1
"13",1,"F","B",41153.400000006,0,1
"14",1,"B","B",60966,1,1
"15",1,"F","D",52710.5,0,1
"16",1,"C","E",54454.2999999821,0,1
"17",1,"F","C",55714.5,0,1
"18",1,"F","A",57119.1000000238,0,1
"19",1,"F","D",76834.900000006,0,1
"20",1,"D","E",43285,0,1
"21",9,"C","C",58510.7000000477,1,7
"22",9,"E","E",79827.9000000954,1,7
"23",9,"B","B",141290.599999905,1,7
"24",9,"E","B",112656.799999952,0,7
"25",9,"D","D",32232.4000000954,1,7
"26",9,"B","E",38199.0999999046,0,7
"27",9,"C","C",72186.4000000954,1,7
"28",9,"A","A",83093.8999998569,1,7
"29",9,"B","D",45632.6999998093,0,7
"30",9,"E","E",49778.8999998569,1,7
"31",3,"C","C",35485.200000003,1,6
"32",3,"C","E",39786,0,6
"33",3,"B","B",81416,1,6
"34",3,"B","B",95103.5,1,6
"35",3,"D","D",86735.700000003,1,6
"36",3,"C","E",101615.699999988,0,6
"37",3,"C","C",50103.099999994,1,6
"38",3,"A","A",74038.200000003,1,6
"39",3,"C","D",86121.1999999881,0,6
"40",3,"A","E",88726.8999999911,0,6
"41",2,"C","C",28423.9000000525,1,6
"42",2,"E","E",29110.800000024,1,6
"43",2,"A","B",32985.400000005,0,6
"44",2,"B","B",37254.7999999952,1,6
"45",2,"D","D",19987.8000000026,1,6
"46",2,"F","E",29154.899999965,0,6
"47",2,"C","C",43407.3000000208,1,6
"48",2,"D","A",11184.4000000274,0,6
"49",2,"C","D",40402.2999999579,0,6
"50",2,"E","E",30179.300000018,1,6
"51",8,"C","C",24764,1,2
"52",8,"F","E",18313,0,2
"53",8,"D","B",14977,0,2
"54",8,"B","B",43254,1,2
"55",8,"C","D",48892,0,2
"56",8,"B","E",30132,0,2
"57",8,"B","C",48316,0,2
"58",8,"C","A",43751,0,2
"59",8,"C","D",23627,0,2
"60",8,"C","E",20825,0,2
"61",7,"C","C",82257,1,4
"62",7,"C","E",38156,0,4
"63",7,"F","B",49057,0,4
"64",7,"B","B",21905,1,4
"65",7,"A","D",133650,0,4
"66",7,"B","E",84238,0,4
"67",7,"C","C",40826,1,4
"68",7,"A","A",73650,1,4
"69",7,"B","D",94962,0,4
"70",7,"B","E",96927,0,4
"71",5,"C","C",134696.099999994,1,6
"72",5,"E","E",317984.5,1,6
"73",5,"B","B",137089.799999997,1,6
"74",5,"B","B",267349.900000006,1,6
"75",5,"D","D",189338.700000003,1,6
"76",5,"A","E",214794.099999994,0,6
"77",5,"C","C",94800.6000000089,1,6
"78",5,"C","A",84790.5,0,6
"79",5,"A","D",94673.900000006,0,6
"80",5,"A","E",132737,0,6
"81",6,"C","C",13194.9199999799,1,7
"82",6,"C","E",25359.9800000084,0,7
"83",6,"B","B",15412.0600000024,1,7
"84",6,"B","B",52562.2749999748,1,7
"85",6,"D","D",34138.4850000031,1,7
"86",6,"C","E",29665.1350000175,0,7
"87",6,"C","C",36654.889999947,1,7
"88",6,"A","A",23886.210000026,1,7
"89",6,"F","D",80596.4749999694,0,7
"90",6,"E","E",61639.5449999836,1,7
"91",4,"B","C",27998,0,3
"92",4,"E","E",17535,1,3
"93",4,"C","B",19800,0,3
"94",4,"E","B",36204,0,3
"95",4,"C","D",9526,0,3
"96",4,"C","E",27222,0,3
"97",4,"C","C",17177,1,3
"98",4,"C","A",10602,0,3
"99",4,"D","D",26058,1,3
"100",4,"D","E",13593,0,3
"101",10,"C","C",62725.0999999046,1,5
"102",10,"C","E",41048.2000000477,0,5
"103",10,"A","B",66066.2999999523,0,5
"104",10,"B","B",90860.3000001907,1,5
"105",10,"D","D",71064.8999998569,1,5
"106",10,"C","E",283282.200000048,0,5
"107",10,"C","C",81718.9000000954,1,5
"108",10,"E","A",160863.700000048,0,5
"109",10,"D","D",63313.2000000477,1,5
"110",10,"A","E",37795,0,5
"111",12,"C","C",40649,1,5
"112",12,"E","E",70592,1,5
"113",12,"B","B",23942,1,5
"114",12,"B","B",61790,1,5
"115",12,"F","D",66009,0,5
"116",12,"C","E",80774,0,5
"117",12,"B","C",24947,0,5
"118",12,"C","A",15429,0,5
"119",12,"C","D",61185.0000000001,0,5
"120",12,"E","E",28073,1,5
"121",14,"C","C",4840,1,2
"122",14,"D","E",5118,0,2
"123",14,"D","B",4709,0,2
"124",14,"C","B",3950,0,2
"125",14,"D","D",1677,1,2
"126",14,"C","E",3489,0,2
"127",14,"E","C",6858,0,2
"128",14,"C","A",5815,0,2
"129",14,"E","D",6209,0,2
"130",14,"C","E",6468,0,2
"131",19,"B","C",133064.699999999,0,4
"132",19,"C","E",15475.8000000007,0,4
"133",19,"A","B",24944,0,4
"134",19,"B","B",32364.5,1,4
"135",19,"D","D",32753.5999999978,1,4
"136",19,"C","E",44037.5999999978,0,4
"137",19,"E","C",49171.8000000007,0,4
"138",19,"E","A",23411.1000000015,0,4
"139",19,"D","D",58676.0999999978,1,4
"140",19,"E","E",32294.8999999985,1,4
"141",22,"D","C",11896.700000003,0,1
"142",22,"F","E",22993.799999997,0,1
"143",22,"E","B",51641.3000000119,0,1
"144",22,"D","B",15979.799999997,0,1
"145",22,"F","D",26949.700000003,0,1
"146",22,"C","E",4562.69999998808,0,1
"147",22,"D","C",10795.200000003,0,1
"148",22,"D","A",10295.6999999881,0,1
"149",22,"D","D",22208.299999997,1,1
"150",22,"A","E",6709.70000000298,0,1
"151",16,"C","C",20282,1,6
"152",16,"E","E",45000.5,1,6
"153",16,"A","B",29604.7999999998,0,6
"154",16,"B","B",26871.1000000001,1,6
"155",16,"E","D",26755.5999999996,0,6
"156",16,"C","E",33466.5999999996,0,6
"157",16,"C","C",27148.8999999999,1,6
"158",16,"C","A",34791.7000000002,0,6
"159",16,"D","D",45308.7000000002,1,6
"160",16,"E","E",43403.7000000002,1,6
"161",11,"B","C",143661.3,0,3
"162",11,"D","E",44484.0999999979,0,3
"163",11,"C","B",48908.7,0,3
"164",11,"B","B",66203.6999999982,1,3
"165",11,"D","D",31997.4000000001,1,3
"166",11,"B","E",34783.1000000006,0,3
"167",11,"C","C",66538.7999999984,1,3
"168",11,"F","A",31780.5000000008,0,3
"169",11,"C","D",64274.3000000009,0,3
"170",11,"A","E",44228.6000000022,0,3
"171",17,"C","C",57946.1,1,9
"172",17,"E","E",61751.4,1,9
"173",17,"B","B",159582.7,1,9
"174",17,"B","B",61769.7000000001,1,9
"175",17,"D","D",81371,1,9
"176",17,"E","E",430624.2,1,9
"177",17,"C","C",43567.8999999999,1,9
"178",17,"A","A",105825,1,9
"179",17,"D","D",98424.8999999999,1,9
"180",17,"A","E",55846.7,0,9
"181",18,"C","C",26032.6,1,4
"182",18,"E","E",30458.8,1,4
"183",18,"D","B",39765.6,0,4
"184",18,"B","B",23828.9,1,4
"185",18,"E","D",22127.1,0,4
"186",18,"A","E",18353.2999999999,0,4
"187",18,"C","C",17264.6,1,4
"188",18,"C","A",27584.7999999999,0,4
"189",18,"E","D",19255.7,0,4
"190",18,"D","E",11968.2999999999,0,4
"191",21,"C","C",43397,1,3
"192",21,"E","E",38008,1,3
"193",21,"A","B",43494,0,3
"194",21,"A","B",67283,0,3
"195",21,"B","D",41575,0,3
"196",21,"C","E",23019,0,3
"197",21,"E","C",60671,0,3
"198",21,"A","A",26210,1,3
"199",21,"F","D",22416,0,3
"200",21,"D","E",16065,0,3
"201",20,"C","C",61419.5,1,9
"202",20,"E","E",74802,1,9
"203",20,"B","B",78927.599999994,1,9
"204",20,"B","B",58427.099999994,1,9
"205",20,"D","D",73208.5,1,9
"206",20,"C","E",57480.299999997,0,9
"207",20,"C","C",55193.599999994,1,9
"208",20,"A","A",106931.299999997,1,9
"209",20,"D","D",78768.6000000089,1,9
"210",20,"E","E",42974.8000000119,1,9
"211",15,"C","C",23258.2000000477,1,5
"212",15,"D","E",14059.4000000954,0,5
"213",15,"B","B",23842.2999999523,1,5
"214",15,"D","B",15635.5,0,5
"215",15,"F","D",20529.4000000954,0,5
"216",15,"F","E",21529.6000001431,0,5
"217",15,"C","C",26208.5999999046,1,5
"218",15,"D","A",11770.6000001431,0,5
"219",15,"D","D",16862.6000001431,1,5
"220",15,"E","E",15346.3999998569,1,5
